id,english,korean,korean_distractors,error_choices,phrase_distractors
1080000,"Harry, the Hedgehog",고슴도치 Harry,,,
1080099,https://cdata.tsherpa.co.kr/QRTextbook/22/contents/P2200229/QR/QR45/index.html,,,,
1080101,**Harry** was / very excited.,Harry는 매우 신이 났습니다.,Harry는 매우 슬펐습니다.;Harry는 조금 긴장했습니다.;Harry는 매우 피곤했습니다.;Harry는 화가 나 있었습니다.;Harry는 매우 놀랐습니다.,,/really tired;very nervous;quite worried;so lonely;very surprised
1080102,{It} {was} / {his first day} / {at} a new school.,새로운 학교에서의 첫 번째 날이었습니다.,새로운 학교에서의 마지막 날이었습니다.;그가 학교에 처음 가 본 날이었습니다.;새로운 학교에서의 두 번째 날이었습니다.;그의 생일날이었습니다.;새로운 학교에서 축구를 하는 날이었습니다.,They;were;him first day;in,/his last day;his second day;his birthday;his first class;his first lunch/
1080103,"{On} his way to school, / {he} {thought}, / ‘I want {to make} a lot of friends.’",학교에 가는 길에 그는 ‘많은 친구를 사귀고 싶어.’라고 생각했습니다.,학교에서 집으로 오는 길에 그는 친구들을 떠올렸습니다.;학교에 가는 길에 그는 친구를 한 명만 사귀고 싶다고 생각했습니다.;학교에 가는 길에 그는 축구를 하고 싶다고 생각했습니다.;학교에 가는 길에 그는 새 학교가 싫다고 생각했습니다.;학교에 가는 길에 그는 많은 선물을 받고 싶다고 생각했습니다.,In;him;think;making,/he said;he wondered;he hoped;he decided;he remembered/
1080104,"{When} {he entered} / the {classroom}, / {everyone looked} at him.",그가 교실에 들어갔을 때 모두 그를 쳐다봤습니다.,그가 운동장에 들어갔을 때 모두 그를 쳐다봤습니다.;그가 교실에 들어갔을 때 아무도 그를 보지 않았습니다.;그가 교실에 들어갔을 때 모두 서로를 쳐다봤습니다.;그가 교실을 나갔을 때 모두 그를 불렀습니다.;그가 교실에 들어갔을 때 모두 그의 선물을 보았습니다.,While;he enter;classrooms;everyone look,/he left;he came near;he walked past;he looked into;he entered/
1080105,"**Harry** said, / “Hi, I’m **Harry**. / Nice to meet you.”","Harry는 “안녕, 나는 Harry라고 해. 만나서 반가워.”라고 말했습니다.","Harry는 “안녕, 나는 Peter야. 만나서 반가워.”라고 말했습니다.;Harry는 “안녕, 나는 Harry야. 같이 축구하자.”라고 말했습니다.;Harry는 “안녕, 나는 Harry야. 다시 만나서 반가워.”라고 말했습니다.;Harry는 “안녕, 나는 Harry야. 내 가시를 봐.”라고 말했습니다.;Harry는 “안녕, 나는 Harry야. 집에 가고 싶어.”라고 말했습니다.",,/Good to see;Happy meet;Nice meeting;Glad meeting;Pleased seeing/
1080106,{They} {looked at} / his {spines} / {curiously}.,그들은 그의 가시를 호기심을 가지고 바라봤습니다.,그들은 그의 가시를 무서워하며 피했습니다.;그들은 그의 재킷을 호기심을 가지고 바라봤습니다.;그들은 그의 가시를 만져 보았습니다.;그들은 그의 얼굴을 놀라서 바라봤습니다.;그들은 그의 가시를 보고 웃었습니다.,Them;look at;spine;curious,/his jacket;his face;his shoes;his bag;his hands/
1080201,"At lunchtime, / **Harry’s** classmates / were playing soccer.",점심시간에 Harry의 반 친구들은 축구를 하고 있었습니다.,점심시간에 Harry의 반 친구들은 농구를 하고 있었습니다.;방과 후에 Harry의 반 친구들은 축구를 하고 있었습니다.;점심시간에 Harry는 혼자 축구를 하고 있었습니다.;점심시간에 Harry의 반 친구들은 교실에 있었습니다.;점심시간에 Harry의 반 친구들은 Harry를 기다리고 있었습니다.,,//were eating lunch;were playing basketball;were studying;were talking together;were going home
1080202,"“**Harry**, / join us!”","“Harry야, 우리랑 같이 놀자!”","“Harry야, 교실로 들어가자!”;“Harry야, 공을 잡지 마!”;“Harry야, 우리를 기다려!”;“Harry야, 집에 가자!”;“Harry야, 우리 옆에 앉아!”",,/wait for us;come inside;sit with us;follow us;help us
1080203,"**Peter**, the {pig}, / {kicked} the {soccer ball} / {to} **Harry**.",돼지 Peter가 Harry에게 축구공을 찼습니다.,토끼 Ruby가 Harry에게 축구공을 찼습니다.;돼지 Peter가 Harry에게 공을 던졌습니다.;돼지 Peter가 Ruby에게 축구공을 찼습니다.;Harry가 Peter에게 축구공을 찼습니다.;돼지 Peter가 축구공을 운동장 밖으로 찼습니다.,pigs;kick;soccer balls;for,/threw the soccer ball;passed a basketball;kicked a small ball;gave the soccer ball;rolled the soccer ball/
1080204,"{When} **Harry** {jumped} / {to catch} the ball, / the ball {went flat}.",Harry가 공을 잡기 위해서 점프했을 때 공이 터져 버렸습니다.,Harry가 공을 차기 위해 점프했을 때 공이 멀리 날아갔습니다.;Harry가 공을 잡기 위해 점프했을 때 공이 사라졌습니다.;Harry가 공을 잡았을 때 공이 더 커졌습니다.;Harry가 점프했을 때 가시가 부러졌습니다.;Harry가 공을 잡기 위해 점프했을 때 친구들이 넘어졌습니다.,While;jump;catching;go flat,/to kick the ball;to throw the ball;to avoid the ball;to hit the ball;to follow the ball/
1080205,"“Oh, no! / {We} {can’t play} soccer / {anymore}. / {Let’s go} inside.”","“오, 안 돼! 우리는 더 이상 축구를 못 하겠네. 안으로 들어가자.”","“오, 안 돼! 우리는 이제 축구를 더 잘할 수 있겠네. 밖으로 나가자.”;“오, 안 돼! 우리는 더 이상 농구를 못 하겠네. 안으로 들어가자.”;“괜찮아! 우리는 계속 축구를 할 수 있어. 여기 있자.”;“오, 안 돼! Harry는 더 이상 축구를 못 하겠네. 우리는 계속하자.”;“오, 안 돼! 공을 새로 사러 가자.”",Us;can’t playing;no more;Let’s goes,
1080206,The classmates / left the playground.,반 친구들은 운동장을 떠났습니다.,반 친구들은 운동장에 남았습니다.;반 친구들은 교실을 떠났습니다.;Harry만 운동장을 떠났습니다.;반 친구들은 학교를 떠났습니다.;반 친구들은 운동장에서 Harry를 기다렸습니다.,,/entered the playground;cleaned the playground;left the classroom;crossed the playground;returned to the playground
1080207,**Harry** was / alone.,Harry는 혼자였습니다.,Harry는 친구들과 함께였습니다.;Harry는 화가 나 있었습니다.;Harry는 운동장을 떠났습니다.;Harry는 교실 안에 있었습니다.;Harry는 매우 신이 났습니다.,,/with friends;very happy;inside the classroom;with Peter;on the bus
1080301,"On the school bus, / **Harry** found **Ruby**, / the friendly rabbit.",학교 버스에서 Harry는 친절한 토끼 Ruby를 발견했습니다.,학교 버스에서 Harry는 돼지 Peter를 발견했습니다.;운동장에서 Harry는 친절한 토끼 Ruby를 발견했습니다.;학교 버스에서 Ruby는 Harry를 찾았습니다.;학교 버스에서 Harry는 친절한 강아지를 발견했습니다.;학교 버스에서 Harry는 혼자 앉아 있었습니다.,,/Peter;his teacher;a friendly pig;a new student;the bus driver/
1080302,"“Hi, / **Harry**!”","“안녕, Harry!”","“안녕, Peter!”;“잘 가, Harry!”;“미안해, Harry!”;“Harry야, 조심해!”;“생일 축하해, Harry!”",,
1080303,**Ruby** waved / at him.,Ruby가 그에게 손을 흔들었습니다.,Ruby가 그를 불렀습니다.;Ruby가 그에게 공을 던졌습니다.;Ruby가 그를 피했습니다.;Ruby가 그에게 상자를 주었습니다.;Ruby가 그 옆에 앉았습니다.,,/called him;looked for him;smiled him;waited him;spoke him
1080304,**Harry** went / to sit / next to **Ruby**.,Harry는 Ruby 옆에 앉기 위해 갔습니다.,Harry는 Ruby 뒤에 앉기 위해 갔습니다.;Harry는 Ruby 옆을 지나갔습니다.;Harry는 Ruby 옆에 서 있기 위해 갔습니다.;Harry는 Peter 옆에 앉기 위해 갔습니다.;Harry는 버스 뒤쪽으로 바로 갔습니다.,,/to stand;to talk;to wave;to wait;to walk/
1080305,“Ouch!”,“아야!”,“와!”;“안녕!”;“고마워!”;“미안해!”;“조심해!”,,
1080306,**Harry’s** spines / hurt **Ruby**.,Harry의 가시가 Ruby를 아프게 했습니다.,Ruby의 가시가 Harry를 아프게 했습니다.;Harry의 가시가 Peter를 아프게 했습니다.;Harry의 재킷이 Ruby를 아프게 했습니다.;Harry의 가시가 Ruby를 놀라게 했지만 아프게 하지는 않았습니다.;Harry의 가시가 축구공을 터뜨렸습니다.,,/helped Ruby;surprised Ruby;hurt Peter;scared Ruby;missed Ruby
1080307,"“Oh, / I’m sorry, / **Ruby**.”","“오, 미안해, Ruby야.”","“오, 고마워, Ruby야.”;“오, 괜찮아, Ruby야.”;“오, 반가워, Ruby야.”;“오, 미안해, Peter야.”;“오, 잘 가, Ruby야.”",,/I’m happy;I’m fine;I’m ready;I’m afraid;I’m surprised/
1080308,**Harry** went / to the back seat.,Harry는 뒷자리로 갔습니다.,Harry는 앞자리로 갔습니다.;Harry는 Ruby 옆자리에 그대로 있었습니다.;Harry는 버스에서 내렸습니다.;Harry는 교실 뒤로 갔습니다.;Harry는 운동장으로 돌아갔습니다.,,/to the front seat;next to Ruby;outside the bus;to the playground;to Peter’s seat
1080309,{He} {was} / {alone} / {again}.,그는 다시 혼자였습니다.,그는 다시 신이 났습니다.;그는 더 이상 혼자가 아니었습니다.;그는 다시 Ruby 옆에 있었습니다.;그는 친구들과 함께였습니다.;그는 다시 운동장에 있었습니다.,Him;were;alones;againly,
1080310,“Nobody {likes} {me} / {because of} these {spines}.”,“이 가시 때문에 아무도 나를 좋아하지 않아.”,“이 가시 때문에 모두가 나를 좋아해.”;“내가 축구를 못해서 아무도 나를 좋아하지 않아.”;“이 재킷 때문에 아무도 나를 좋아하지 않아.”;“Ruby만 이 가시 때문에 나를 좋아하지 않아.”;“아무도 이 가시를 좋아하지 않아.”,like;I;because;spine,/because these;because for;because from;because with;because by
1080311,**Harry** felt / really sad.,Harry는 정말 슬펐습니다.,Harry는 정말 행복했습니다.;Harry는 조금 화가 났습니다.;Harry는 정말 놀랐습니다.;Harry는 매우 신이 났습니다.;Harry는 정말 피곤했습니다.,,/really happy;very excited;quite surprised;very angry;really tired
1080401,"A few weeks later, / **Harry** was sitting / in the back of the classroom.","몇 주 뒤, Harry는 교실 뒤에 앉아 있었습니다.","며칠 뒤, Harry는 교실 앞에 앉아 있었습니다.;몇 주 뒤, Harry는 운동장 뒤에 서 있었습니다.;몇 주 뒤, Harry는 Ruby 옆에 앉아 있었습니다.;몇 주 뒤, Harry는 버스 뒤에 앉아 있었습니다.;몇 주 뒤, Harry는 교실을 떠나고 있었습니다.",,/A few days later;The next morning;One year later;A few hours later;The next week/
1080402,{It} {was} / {his} {birthday}.,그의 생일이었습니다.,Ruby의 생일이었습니다.;그의 학교 첫날이었습니다.;Peter의 생일이었습니다.;그의 마지막 수업 날이었습니다.;그의 축구 경기 날이었습니다.,They;were;he;birthdays,/his first day;Ruby’s birthday;Peter’s birthday;his last day;his school festival
1080403,{His classmates} / {were talking} / {about} {something}.,그의 반 친구들은 무언가에 대해 이야기하고 있었습니다.,그의 반 친구들은 Harry와 함께 이야기하고 있었습니다.;그의 반 친구들은 축구를 하고 있었습니다.;그의 반 친구들은 아무 말도 하지 않았습니다.;그의 반 친구들은 선생님에 대해 이야기하고 있었습니다.;그의 반 친구들은 Harry에게 생일 축하를 하고 있었습니다.,His classmate;was talking;for;some things,/were playing;were studying;were shouting;were eating;were waiting/
