id,english,korean,korean_distractors,error_choices,phrase_distractors
1090000,Into the Job World,직업 세계로,,,
1090099,https://cdata.tsherpa.co.kr/QRTextbook/22/contents/P2200229/QR/QR49/index.html,,,,
1090101,{Lucy’s father} {is} / {an} {engineer}.,Lucy의 아빠는 기술자이다.,Lucy의 아빠는 과학자이다.;Lucy의 아빠는 소방관이다.;Lucy의 엄마는 기술자이다.;Lucy의 아빠는 기술자가 되고 싶어 한다.;Lucy의 아빠는 새로운 장치를 만드는 학생이다.,Lucy’s fathers;are;a;engineers,/a teacher;a designer;a firefighter;a pilot;a reporter
1090102,"Today, / {he} {brought} / {a new device} / {for} Lucy.","오늘, 그는 Lucy를 위해 새로운 장치를 가져왔다.","오늘, Lucy가 아빠에게 새로운 장치를 가져왔다.;어제, 그는 Lucy를 위해 새 책을 가져왔다.;오늘, 그는 Lucy를 위해 직업 목록을 가져왔다.;오늘, 그는 자신을 위해 새로운 장치를 가져왔다.;오늘, 그는 Lucy에게 새 장치를 만들어 달라고 했다.",him;bring;new devices;to,//a new book;a small box;a job list;a blue camera;a special suit/
1090201,Wow!,우와!,아야!;정말?;좋아요!;잠깐만요!;이럴 수가!,,
1090202,{Is} {this} / {for} {me}?,이것은 저를 위한 건가요?,이것은 아빠를 위한 건가요?;이것은 제가 만든 건가요?;이것을 제가 가져가도 되나요?;이것은 무슨 일을 위한 건가요?;이것이 새 장치인가요?,Are;these;to;I,
1090203,What’s / this?,이게 뭐예요?,이게 어떻게 작동해요?;이건 누구 거예요?;이것의 이름이 뭐예요?;이걸 어디에서 샀어요?;이것으로 무엇을 할 수 있어요?,,
1090204,Its name is / **Into the Job World**.,그것의 이름은 ‘직업 세계로’란다.,그것의 이름은 ‘직업 목록’이란다.;그것의 이름은 ‘미래의 학교’란다.;그 장치는 ‘직업 찾기’라고 불린단다.;그것의 이름은 ‘현실로 돌아가기’란다.;그것은 ‘소방관 체험기’라는 장치란다.,,/Job Finder;Future World;My Job List;Career World;Job Adventure
1090205,"{You} {wanted} / {to know} / about many different {jobs}, / right?","너는 많은 다양한 직업들에 대해 알고 싶어 했잖니, 그렇지?","너는 한 가지 직업만 알고 싶어 했잖니, 그렇지?;너는 새로운 학교에 대해 알고 싶어 했잖니, 그렇지?;너는 다양한 직업을 직접 만들고 싶어 했잖니, 그렇지?;너는 여러 직업에 관심이 없었잖니, 그렇지?;너는 많은 사람들의 이름을 알고 싶어 했잖니, 그렇지?",Your;want;knowing;job,/to try;to learn;to read;to hear;to ask//
1090206,You’ll / love it.,너는 그것을 매우 좋아하게 될 거야.,너는 그것을 곧 싫어하게 될 거야.;너는 그것을 금방 잊게 될 거야.;너는 그것을 사용할 수 없을 거야.;너는 그것을 아주 어렵게 느낄 거야.;너는 그것보다 직업 목록을 더 좋아할 거야.,,
